uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC8_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.7,2.6,3.5,4.4,8.5,0.6,1.0,1.6,1.6,2.0,223467.5,1.0,20214.666666666668,20214.666666666668,20214.666666666668,20214.666666666668,2.2,1.3,0.3,1661.4,1.0,1.0,1.0,223.4675,1.0,0.3
UC8_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.6,2.7,3.3,4.3,7.9,1.0,1.0,1.0,1.0,1.7,224137.4,1.0,1286.5,1286.5,1286.5,1286.5,1.6,0.9,0.2,695.2,1.0,1.0,1.0,224.13739999999999,1.0,0.2
UC8_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.3,2.3,3.3,3.8,7.2,1.1,1.1,1.1,1.1,1.7,221298.9,1.0,1285.6666666666667,1504.1666666666667,1504.1666666666667,1504.1666666666667,3.4,2.6,0.7,1136.0,1.0,1.0,1.0,221.2989,1.0,0.7
UC8_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.5,2.4,3.4,4.0,9.1,1.4,1.4,1.4,1.4,1.4,223996.5,1.0,2123.8571428571427,2123.8571428571427,2123.8571428571427,2123.8571428571427,2.2,1.5,0.7,442.5,1.0,1.0,1.0,223.9965,1.0,0.7
UC8_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.7,2.7,3.4,4.2,7.1,1.1,1.1,1.2,1.2,1.5,224851.2,1.0,2459.2,2459.2,2459.2,2459.2,2.7,1.7,0.5,486.3,1.0,1.0,1.0,224.8512,1.0,0.5
UC8_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.7,2.7,3.2,4.2,7.4,0.9,0.9,0.9,0.9,1.6,223207.3,1.0,1352.5,1352.5,1352.5,1352.5,1.7,1.0,0.2,655.2,1.0,1.0,1.0,223.20729999999998,1.0,0.2
UC8_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.5,3.1,4.0,5.9,0.5,0.5,0.5,0.5,2.6,223843.7,1.0,10631.0,19533.0,19533.0,19533.0,4.0,3.2,1.0,147.0,1.0,1.0,1.0,223.8437,1.0,1.0
UC8_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.7,2.8,3.3,4.0,7.9,0.8,1.1,1.1,1.1,2.2,223693.5,1.0,2781.5,2781.5,2781.5,2781.5,2.8,2.1,0.4,657.1,1.0,1.0,1.0,223.6935,1.0,0.4
UC8_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,2.3,3.2,4.2,7.6,0.6,0.7,0.7,0.7,1.6,223787.9,1.0,37512.2,37512.2,37512.2,37512.2,2.1,1.3,0.5,477.4,1.0,1.0,1.0,223.7879,1.0,0.5
UC8_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.5,3.4,4.1,8.6,1.0,1.2,1.5,1.5,1.6,224899.8,1.0,16352.5,16352.5,16352.5,16352.5,2.0,1.3,0.4,419.8,1.0,1.0,1.0,224.8998,1.0,0.4
