uc,run,delivery_rate_joined_only
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,0.9993297872340425
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,0.9989687500000001
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,0.9990625000000001
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,0.9786770833333334
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,0.9777717391304348
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,0.9776354166666668
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,0.9988541666666667
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,0.99959375
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,0.9784166666666666
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204445_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-204855_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-205306_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-205717_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210127_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210537_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-210949_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-211408_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,0.99886
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,0.97887
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,0.96098
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,0.99934
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,0.99884
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,1.0
