uc,run,delivery_rate_joined_only
UC1_P10,run-20251202-191226_uc7_p10_m2000_r10_s256_DIRECT,0.8998000000000002
UC1_P10,run-20251202-191603_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC1_P10,run-20251202-191938_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251202-192320_uc7_p10_m2000_r10_s256_DIRECT,0.9999
UC1_P10,run-20251202-192701_uc7_p10_m2000_r10_s256_DIRECT,0.89955
UC1_P10,run-20251202-193039_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251202-193414_uc7_p10_m2000_r10_s256_DIRECT,0.9995499999999999
UC1_P10,run-20251202-193750_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC1_P10,run-20251202-194128_uc7_p10_m2000_r10_s256_DIRECT,0.99975
UC1_P10,run-20251202-194504_uc7_p10_m2000_r10_s256_DIRECT,0.9997
UC1_P10,run-20251203-110548_uc7_p10_m2000_r10_s256_DIRECT,0.9999499999999999
UC1_P10,run-20251203-110935_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-111324_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-111709_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-112101_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC1_P10,run-20251203-112448_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC1_P10,run-20251203-112831_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-113217_uc7_p10_m2000_r10_s256_DIRECT,0.9995
UC1_P10,run-20251203-113606_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P10,run-20251203-113952_uc7_p10_m2000_r10_s256_DIRECT,1.0
UC1_P50,run-20251202-111206_uc7_p50_m2000_r10_s256_DIRECT,0.9575625
UC1_P50,run-20251202-111555_uc7_p50_m2000_r10_s256_DIRECT,0.9995
UC1_P50,run-20251202-111939_uc7_p50_m2000_r10_s256_DIRECT,0.9983125
UC1_P50,run-20251202-112319_uc7_p50_m2000_r10_s256_DIRECT,0.9989166666666667
UC1_P50,run-20251202-112700_uc7_p50_m2000_r10_s256_DIRECT,0.9782872340425532
UC1_P50,run-20251202-113042_uc7_p50_m2000_r10_s256_DIRECT,0.95728125
UC1_P50,run-20251202-113424_uc7_p50_m2000_r10_s256_DIRECT,0.9781630434782609
UC1_P50,run-20251202-113811_uc7_p50_m2000_r10_s256_DIRECT,0.9986734693877551
UC1_P50,run-20251202-114152_uc7_p50_m2000_r10_s256_DIRECT,0.9777604166666668
UC1_P50,run-20251203-074037_uc7_p50_m2000_r10_s256_DIRECT,0.9969183673469388
UC1_P50,run-20251203-074522_uc7_p50_m2000_r10_s256_DIRECT,0.9778617021276595
UC1_P50,run-20251203-074937_uc7_p50_m2000_r10_s256_DIRECT,0.9987291666666667
UC1_P50,run-20251203-075350_uc7_p50_m2000_r10_s256_DIRECT,0.9711938775510205
UC1_P50,run-20251203-075806_uc7_p50_m2000_r10_s256_DIRECT,0.98901
UC1_P50,run-20251203-080219_uc7_p50_m2000_r10_s256_DIRECT,0.9990425531914894
UC1_P50,run-20251203-080635_uc7_p50_m2000_r10_s256_DIRECT,0.9567244897959184
UC1_P50,run-20251203-081051_uc7_p50_m2000_r10_s256_DIRECT,0.9780106382978724
UC1_P50,run-20251203-081509_uc7_p50_m2000_r10_s256_DIRECT,0.96840625
UC1_P50,run-20251203-081926_uc7_p50_m2000_r10_s256_DIRECT,0.9880744680851065
UC2_P10,run-20251202-174059_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-174524_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-174941_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-175357_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-175815_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-180234_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-180654_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-181111_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-181528_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251202-181946_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-110538_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-110927_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-111359_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-111747_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-112136_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-112526_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-112914_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-113303_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P10,run-20251203-113652_uc8_p10_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251202-212036_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251202-212436_uc8_p50_m2000_r10_s256_RELAY,0.96
UC2_P50,run-20251202-212837_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251202-213237_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251202-213638_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251202-214441_uc8_p50_m2000_r10_s256_RELAY,0.94
UC2_P50,run-20251202-215244_uc8_p50_m2000_r10_s256_RELAY,0.96
UC2_P50,run-20251202-215644_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251203-073300_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251203-073706_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251203-074106_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251203-074507_uc8_p50_m2000_r10_s256_RELAY,1.0
UC2_P50,run-20251203-074907_uc8_p50_m2000_r10_s256_RELAY,0.9998600000000001
UC2_P50,run-20251203-075308_uc8_p50_m2000_r10_s256_RELAY,0.97977
UC2_P50,run-20251203-075710_uc8_p50_m2000_r10_s256_RELAY,0.9998699999999999
UC2_P50,run-20251203-080110_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251203-080512_uc8_p50_m2000_r10_s256_RELAY,0.98
UC2_P50,run-20251203-080913_uc8_p50_m2000_r10_s256_RELAY,1.0
