uc,run,convergence_time_ms,convergence_time_s
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,202543.0,202.543
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,202654.0,202.654
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,,
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,202861.0,202.861
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,202422.0,202.422
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,202550.0,202.55
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,202539.0,202.539
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,202425.0,202.425
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,,
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-201129_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-201529_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-201929_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-202329_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-202729_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-203129_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-203529_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-203929_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-204333_uc3_p50_m2000_r10_s256_DIRECT,,
UC3_P50,run-20251201-204734_uc3_p50_m2000_r10_s256_DIRECT,,
UC4_P10,run-20251201-165245_uc4_p10_m2000_r10_s256_RELAY,202677.5,202.6775
UC4_P10,run-20251201-165640_uc4_p10_m2000_r10_s256_RELAY,202664.625,202.664625
UC4_P10,run-20251201-170028_uc4_p10_m2000_r10_s256_RELAY,202484.57142857142,202.48457142857143
UC4_P10,run-20251201-170416_uc4_p10_m2000_r10_s256_RELAY,202654.14285714287,202.65414285714286
UC4_P10,run-20251201-170805_uc4_p10_m2000_r10_s256_RELAY,202572.9,202.5729
UC4_P10,run-20251201-171153_uc4_p10_m2000_r10_s256_RELAY,202593.5,202.5935
UC4_P10,run-20251201-171541_uc4_p10_m2000_r10_s256_RELAY,202457.4,202.4574
UC4_P10,run-20251201-171929_uc4_p10_m2000_r10_s256_RELAY,202737.25,202.73725
UC4_P10,run-20251201-172318_uc4_p10_m2000_r10_s256_RELAY,202585.0,202.585
UC4_P10,run-20251201-172706_uc4_p10_m2000_r10_s256_RELAY,202607.5,202.6075
UC4_P50,run-20251201-221723_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-221813_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-221902_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-221952_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-222041_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-222130_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-222219_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-222309_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251201-222358_uc4_p50_m2000_r10_s256_RELAY,,
UC4_P50,run-20251202-021113_uc4_p50_m2000_r10_s256_RELAY,202618.64516129033,202.61864516129035
UC4_P50,run-20251202-021507_uc4_p50_m2000_r10_s256_RELAY,202774.90625,202.77490625
UC4_P50,run-20251202-021902_uc4_p50_m2000_r10_s256_RELAY,202603.77142857143,202.60377142857143
UC4_P50,run-20251202-022257_uc4_p50_m2000_r10_s256_RELAY,202689.875,202.689875
UC4_P50,run-20251202-022651_uc4_p50_m2000_r10_s256_RELAY,202556.63636363635,202.55663636363636
UC4_P50,run-20251202-023045_uc4_p50_m2000_r10_s256_RELAY,202490.85714285713,202.49085714285712
UC4_P50,run-20251202-023440_uc4_p50_m2000_r10_s256_RELAY,202714.15789473685,202.71415789473684
UC4_P50,run-20251202-023835_uc4_p50_m2000_r10_s256_RELAY,202365.4,202.3654
UC4_P50,run-20251202-024230_uc4_p50_m2000_r10_s256_RELAY,202375.6,202.37560000000002
UC4_P50,run-20251202-024625_uc4_p50_m2000_r10_s256_RELAY,,
