uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,convergence_time_ms,pr_avg_ratio,rt_avg_ms,rt_p50_ms,rt_p90_ms,rt_max_ms,disconnect_events,reconnect_events,reconnect_samples,join_wait_ms,sender_joined,joined,saw_test,convergence_time_s,delivery_rate_joined_only,reconnect_samples_joined_only
UC3_P10,run-20251201-173058_uc3_p10_m2000_r10_s256_DIRECT,0.9923500000000001,0.0,1984.7,1984.7,2000.0,0.0,209.8,50.3,175.2,365.2,555.2,895.3,0.4,0.9,2.2,3.3,4.2,202543.0,1.0,8808.42857142857,8940.42857142857,9425.714285714286,9425.714285714286,2.0,1.6,1.4,2371.8,1.0,1.0,1.0,202.543,0.9923500000000001,1.4
UC3_P10,run-20251201-173444_uc3_p10_m2000_r10_s256_DIRECT,0.9884999999999999,0.0,1977.0,1977.0,2000.0,0.0,234.6,37.4,181.7,390.6,630.9,959.4,0.3,0.9,2.1,3.4,4.4,202654.0,1.0,8303.125,10293.25,10296.125,10296.125,1.8,1.6,1.4,3077.2,1.0,1.0,1.0,202.654,0.9884999999999999,1.4
UC3_P10,run-20251201-173829_uc3_p10_m2000_r10_s256_DIRECT,0.9916,0.0,1983.2,1983.2,2000.0,0.0,216.5,46.2,174.5,375.2,573.1,855.2,0.3,0.9,2.0,3.5,4.7,,1.0,9386.857142857143,1201.2857142857142,26306.0,26306.0,2.5,2.2,1.9,3190.7,1.0,1.0,1.0,,0.9916,1.9
UC3_P10,run-20251201-174216_uc3_p10_m2000_r10_s256_DIRECT,0.98675,0.0,1973.5,1973.5,2000.0,0.0,219.0,40.7,147.2,331.5,533.1,861.3,0.2,0.5,1.9,3.2,4.1,202861.0,1.0,19780.625,15442.875,29759.625,29759.625,1.8,1.8,1.6,5123.6,1.0,1.0,1.0,202.861,0.98675,1.6
UC3_P10,run-20251201-174603_uc3_p10_m2000_r10_s256_DIRECT,0.98955,0.0,1979.1,1979.1,2000.0,0.0,231.5,42.8,189.4,409.3,661.4,1676.0,0.3,1.0,2.1,3.3,4.4,202422.0,1.0,4592.2,5262.9,5330.9,5330.9,2.4,1.8,1.8,2890.0,1.0,1.0,1.0,202.422,0.98955,1.8
UC3_P10,run-20251201-174948_uc3_p10_m2000_r10_s256_DIRECT,0.9914,0.0,1982.8,1982.8,2000.0,0.0,218.9,45.2,182.3,393.5,641.2,3602.6,0.3,0.8,2.2,3.4,4.5,202550.0,1.0,5226.777777777777,5319.777777777777,6296.111111111111,6311.666666666667,3.0,2.6,2.2,2619.9,1.0,1.0,1.0,202.55,0.9914,2.2
UC3_P10,run-20251201-175334_uc3_p10_m2000_r10_s256_DIRECT,0.9910500000000001,0.0,1982.1,1982.1,2000.0,0.0,230.8,45.2,168.2,370.1,577.0,963.0,0.3,0.6,2.1,3.3,4.3,202539.0,1.0,4748.111111111111,7257.888888888889,10976.333333333334,10976.333333333334,2.5,2.3,2.1,2558.8,1.0,1.0,1.0,202.539,0.9910500000000001,2.1
UC3_P10,run-20251201-175720_uc3_p10_m2000_r10_s256_DIRECT,0.98795,0.0,1975.9,1975.9,2000.0,0.0,154.8,31.2,111.7,299.0,538.3,970.6,0.4,0.8,1.5,2.6,3.4,202425.0,1.0,12154.42857142857,12145.857142857143,12374.714285714286,12374.714285714286,2.4,2.1,1.7,3099.6,1.0,1.0,1.0,202.425,0.98795,1.7
UC3_P10,run-20251201-180105_uc3_p10_m2000_r10_s256_DIRECT,0.9903000000000001,0.0,1980.6,1980.6,2000.0,0.0,242.5,38.6,179.8,372.4,566.7,865.9,0.1,0.6,2.0,3.4,4.9,,1.0,2179.8888888888887,1297.111111111111,7368.111111111111,7368.111111111111,3.3,2.7,2.4,2002.3,1.0,1.0,1.0,,0.9903000000000001,2.4
UC3_P10,run-20251201-180451_uc3_p10_m2000_r10_s256_DIRECT,0.9935,0.0,1987.0,1987.0,2000.0,0.0,222.1,46.2,176.8,389.1,632.9,1064.6,0.3,0.6,1.8,3.2,4.6,,1.0,2431.5555555555557,636.2222222222222,6542.777777777777,6542.777777777777,3.0,2.7,2.0,1864.0,1.0,1.0,1.0,,0.9935,2.0
UC3_P50,run-20251201-201129_uc3_p50_m2000_r10_s256_DIRECT,0.67474,0.0,1349.48,1349.48,1360.0,0.0,194.7,64.32352941176471,294.52941176470586,548.6176470588235,824.1176470588235,2107.3823529411766,0.6176470588235294,1.5,3.0588235294117645,5.147058823529412,7.382352941176471,,1.0,3215.6060606060605,456.5151515151515,9886.515151515152,17117.696969696968,5.98,5.74,3.72,10682.4,1.0,0.68,0.68,,0.992264705882353,5.470588235294118
UC3_P50,run-20251201-201529_uc3_p50_m2000_r10_s256_DIRECT,0.90652,0.0,1813.04,1813.04,1840.0,0.0,310.22,78.30434782608695,347.67391304347825,613.7826086956521,934.0,3140.5652173913045,0.9565217391304348,1.891304347826087,3.9130434782608696,5.956521739130435,8.956521739130435,,1.0,5409.931818181818,1920.2045454545455,17320.75,22569.386363636364,7.9,7.36,4.92,5495.18,1.0,0.92,0.92,,0.9853478260869565,5.3478260869565215
UC3_P50,run-20251201-201929_uc3_p50_m2000_r10_s256_DIRECT,0.69401,0.0,1388.02,1388.02,1400.0,0.0,203.22,62.457142857142856,280.0857142857143,501.8857142857143,768.3714285714286,9704.0,0.6285714285714286,1.6,3.4,5.085714285714285,8.371428571428572,,1.0,2838.0,635.15625,7795.4375,15815.0,6.6,6.26,4.46,10819.64,1.0,0.7,0.7,,0.9914428571428571,6.371428571428571
UC3_P50,run-20251201-202329_uc3_p50_m2000_r10_s256_DIRECT,0.79496,0.0,1589.92,1589.92,1600.0,0.0,260.8,75.275,348.85,592.725,851.65,3354.4,0.8,1.9,3.825,5.925,8.25,,1.0,2422.128205128205,1490.2564102564102,3302.7948717948716,10345.97435897436,7.8,7.34,5.0,7268.56,1.0,0.8,0.8,,0.9936999999999999,6.25
UC3_P50,run-20251201-202729_uc3_p50_m2000_r10_s256_DIRECT,0.92686,0.0,1853.72,1853.72,1880.0,0.0,309.22,85.51063829787235,410.29787234042556,763.7872340425532,1293.936170212766,23476.63829787234,0.9574468085106383,2.2127659574468086,4.382978723404255,6.51063829787234,9.659574468085106,,1.0,1822.212765957447,1052.595744680851,4138.297872340426,7102.340425531915,8.68,8.24,5.66,4727.02,1.0,0.94,0.94,,0.9860212765957448,6.0212765957446805
UC3_P50,run-20251201-203129_uc3_p50_m2000_r10_s256_DIRECT,0.8477899999999999,0.0,1695.58,1695.58,1720.0,0.0,294.78,74.90697674418605,378.6279069767442,658.3255813953489,1106.7906976744187,8647.67441860465,0.6511627906976745,2.046511627906977,3.86046511627907,6.0,8.976744186046512,,1.0,3970.7380952380954,1858.2142857142858,8782.833333333334,22013.380952380954,8.54,8.18,5.58,7236.84,1.0,0.86,0.86,,0.9858023255813954,6.488372093023256
UC3_P50,run-20251201-203529_uc3_p50_m2000_r10_s256_DIRECT,0.9081199999999999,0.0,1816.24,1816.24,1840.0,0.0,284.06,73.3695652173913,327.17391304347825,561.7391304347826,857.304347826087,3596.304347826087,0.8260869565217391,1.7826086956521738,3.8043478260869565,5.782608695652174,8.543478260869565,,1.0,2113.288888888889,601.0,5145.133333333333,13418.888888888889,9.64,9.22,6.2,5012.24,1.0,0.92,0.92,,0.9870869565217391,6.739130434782608
UC3_P50,run-20251201-203929_uc3_p50_m2000_r10_s256_DIRECT,0.67656,0.0,1353.12,1353.12,1360.0,0.0,206.5,66.1470588235294,300.97058823529414,553.4705882352941,882.0588235294117,3438.3823529411766,0.7058823529411765,1.5,3.235294117647059,5.382352941176471,8.941176470588236,,1.0,2944.181818181818,691.8787878787879,9249.545454545454,11319.666666666666,5.96,5.62,3.84,13505.94,1.0,0.68,0.68,,0.9949411764705883,5.647058823529412
UC3_P50,run-20251201-204333_uc3_p50_m2000_r10_s256_DIRECT,0.75399,0.0,1507.98,1507.98,1520.0,0.0,242.54,72.26315789473684,418.1578947368421,726.7631578947369,1087.0526315789473,3124.0789473684213,0.7105263157894737,1.9736842105263157,4.0,6.447368421052632,9.473684210526315,,1.0,4116.305555555556,1558.3333333333333,9822.916666666666,17247.527777777777,6.82,6.6,4.38,8589.06,1.0,0.76,0.76,,0.9920921052631579,5.7631578947368425
UC3_P50,run-20251201-204734_uc3_p50_m2000_r10_s256_DIRECT,0.73429,0.0,1468.58,1468.58,1480.0,0.0,234.04,71.56756756756756,342.8378378378378,604.4864864864865,946.5135135135135,3375.2702702702704,0.7297297297297297,1.7297297297297298,3.72972972972973,5.8108108108108105,8.405405405405405,,1.0,3397.527777777778,898.9166666666666,3654.75,19430.0,6.96,6.7,4.48,9043.36,1.0,0.74,0.74,,0.9922837837837838,6.054054054054054
UC4_P10,run-20251201-165245_uc4_p10_m2000_r10_s256_RELAY,0.6,0.0,1200.0,1200.0,1200.0,0.0,90.3,28.166666666666668,85.33333333333333,248.0,411.8333333333333,865.6666666666666,0.3333333333333333,0.8333333333333334,1.1666666666666667,1.6666666666666667,2.5,202677.5,1.0,3729.25,7368.75,7368.75,7368.75,1.0,0.6,0.6,13397.1,1.0,0.6,0.6,202.6775,1.0,1.0
UC4_P10,run-20251201-165640_uc4_p10_m2000_r10_s256_RELAY,0.8977499999999999,0.0,1795.5,1795.5,1800.0,0.0,177.7,36.22222222222222,124.22222222222223,312.1111111111111,524.4444444444445,1097.3333333333333,0.4444444444444444,0.7777777777777778,1.6666666666666667,2.5555555555555554,3.5555555555555554,202664.625,1.0,10508.444444444445,729.3333333333334,30860.777777777777,30860.777777777777,3.4,3.3,2.7,4772.2,1.0,0.9,0.9,202.664625,0.9974999999999999,3.0
UC4_P10,run-20251201-170028_uc4_p10_m2000_r10_s256_RELAY,0.79965,0.0,1599.3,1599.3,1600.0,0.0,150.9,31.625,149.0,394.375,781.625,1325.125,0.375,0.75,1.5,2.75,4.25,202484.57142857142,1.0,1795.625,1099.125,4554.75,4554.75,2.4,2.3,2.1,6847.5,1.0,0.8,0.8,202.48457142857143,0.9995625,2.625
UC4_P10,run-20251201-170416_uc4_p10_m2000_r10_s256_RELAY,0.8996000000000001,0.0,1799.2,1799.2,1800.0,0.0,198.5,41.44444444444444,171.33333333333334,370.6666666666667,612.0,1607.2222222222222,0.5555555555555556,0.8888888888888888,2.0,3.111111111111111,4.222222222222222,202654.14285714287,1.0,843.7777777777778,1307.6666666666667,1614.5555555555557,1614.5555555555557,3.6,2.9,2.2,3966.4,1.0,0.9,0.9,202.65414285714286,0.9995555555555556,2.4444444444444446
