uc,run,joined_ratio,saw_test_ratio
UC9_P10,run-20251202-191923_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-192327_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-192734_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-193139_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-193549_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-193956_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-194402_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-194810_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-195216_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P10,run-20251202-195623_uc9_p10_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-200818_uc9_p20_m2000_r10_s256_DIRECT,0.95,0.95
UC9_P20,run-20251202-201252_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-201704_uc9_p20_m2000_r10_s256_DIRECT,0.95,0.95
UC9_P20,run-20251202-202118_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-202529_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-202944_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-203359_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-203812_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-204225_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P20,run-20251202-204637_uc9_p20_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-205050_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-205504_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-205918_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-210333_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-210746_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-211202_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-211616_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-212029_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-212440_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P30,run-20251202-212851_uc9_p30_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-213439_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-213854_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-214257_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-214704_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-215106_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-215511_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-215915_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-220316_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-220719_uc9_p40_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P40,run-20251202-221122_uc9_p40_m2000_r10_s256_DIRECT,0.975,0.975
UC9_P50,run-20251202-222159_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-222601_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-223002_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-223403_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-223804_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-224205_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-224606_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-225007_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-225408_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
UC9_P50,run-20251202-225809_uc9_p50_m2000_r10_s256_DIRECT,1.0,1.0
